track,date,gross_return,positions,turnover,short_exposure,cost,borrow_cost,daily_return_net
news_technical,2023-04-27,-0.0158696894487238,2.0,2.0,2.0,0.0016,0.0002,-0.0174696894487238
news_technical,2023-04-28,-0.0095954475240645,2.0,2.0,0.0,0.0014,0.0,-0.0109954475240645
news_technical,2023-05-01,0.0344914142812008,1.0,0.0,1.0,0.0001,0.0001,0.0343914142812008
news_technical,2023-05-03,-0.0084975277137742,3.0,4.0,3.0,0.0031,0.0003,-0.0115975277137742
news_technical,2023-05-09,0.0312987497713131,1.0,0.0,0.0,0.0,0.0,0.0312987497713131
news_technical,2023-05-11,0.008062812480586,1.0,1.0,0.0,0.0007,0.0,0.007362812480586
news_technical,2023-05-15,0.0326588836994595,2.0,2.0,1.0,0.0015,0.0001,0.0311588836994595
news_technical,2023-05-18,0.0193066860135679,1.0,2.0,0.0,0.0014,0.0,0.0179066860135679
news_technical,2023-05-22,-0.036683126072559,1.0,0.0,1.0,0.0001,0.0001,-0.036783126072559
news_technical,2023-05-25,-0.0145058824495554,3.0,2.0,3.0,0.0017,0.0003,-0.0162058824495554
news_technical,2023-05-26,-0.0084982840462796,4.0,2.0,3.0,0.0017,0.0003,-0.0101982840462796
news_technical,2023-05-30,-0.035026737829118,2.0,2.0,0.0,0.0014,0.0,-0.036426737829118
news_technical,2023-05-31,-0.0216186265012267,2.0,4.0,0.0,0.0028,0.0,-0.0244186265012267
news_technical,2023-06-05,-0.0059988175673254,2.0,2.0,2.0,0.0016,0.0002,-0.0075988175673254
news_technical,2023-06-07,0.0154077783116784,1.0,0.0,0.0,0.0,0.0,0.0154077783116784
news_technical,2023-06-08,-0.0167386996836994,1.0,2.0,1.0,0.0015,0.0001,-0.0182386996836994
news_technical,2023-06-09,0.0395008975236512,1.0,2.0,0.0,0.0014,0.0,0.0381008975236512
news_technical,2023-06-12,-0.0028372752124459,3.0,2.0,0.0,0.0014,0.0,-0.0042372752124459
news_technical,2023-06-13,-0.0515968495433331,1.0,0.0,1.0,0.0001,0.0001,-0.0516968495433331
news_technical,2023-06-15,-0.0192381920847373,2.0,2.0,0.0,0.0014,0.0,-0.0206381920847373
news_technical,2023-06-16,-0.0007127571006019,4.0,2.0,2.0,0.0016,0.0002,-0.0023127571006019
news_technical,2023-06-27,0.0030523585177151,2.0,0.0,2.0,0.0002,0.0002,0.0028523585177151
news_technical,2023-06-28,0.0035121500152534,1.0,0.0,1.0,0.0001,0.0001,0.0034121500152534
news_technical,2023-06-29,-0.0128352178213901,1.0,2.0,1.0,0.0015,0.0001,-0.0143352178213901
news_technical,2023-06-30,0.0026675925486464,1.0,0.0,0.0,0.0,0.0,0.0026675925486464
news_technical,2023-07-10,-0.0320690367341069,1.0,0.0,1.0,0.0001,0.0001,-0.0321690367341069
news_technical,2023-07-11,0.02030337632306,1.0,2.0,0.0,0.0014,0.0,0.01890337632306
news_technical,2023-07-12,-0.0121091915033045,3.0,2.0,3.0,0.0017,0.0003,-0.0138091915033045
news_technical,2023-07-13,-0.004521342690171,2.0,0.0,2.0,0.0002,0.0002,-0.004721342690171
news_technical,2023-07-14,-0.0029493454621959,2.0,0.0,2.0,0.0002,0.0002,-0.0031493454621959
news_technical,2023-07-17,0.0370734609674808,1.0,2.0,0.0,0.0014,0.0,0.0356734609674808
news_technical,2023-07-18,-0.0144485098507245,1.0,0.0,0.0,0.0,0.0,-0.0144485098507245
news_technical,2023-07-19,-0.0465228639559388,1.0,0.0,0.0,0.0,0.0,-0.0465228639559388
news_technical,2023-07-24,0.0149951015403515,1.0,0.0,1.0,0.0001,0.0001,0.0148951015403515
news_technical,2023-07-27,0.0150440588829465,1.0,0.0,1.0,0.0001,0.0001,0.0149440588829465
news_technical,2023-07-28,-0.0071070379613656,1.0,0.0,0.0,0.0,0.0,-0.0071070379613656
news_technical,2023-07-31,-0.0146379510944484,2.0,4.0,2.0,0.003,0.0002,-0.0176379510944484
news_technical,2023-08-01,0.0049365853401032,2.0,0.0,1.0,0.0001,0.0001,0.0048365853401032
news_technical,2023-08-03,-0.0159537598659126,3.0,4.0,2.0,0.003,0.0002,-0.0189537598659126
news_technical,2023-08-04,0.0022533960324571,1.0,0.0,1.0,0.0001,0.0001,0.0021533960324571
news_technical,2023-08-09,-0.0003860322868796,1.0,0.0,1.0,0.0001,0.0001,-0.0004860322868796
news_technical,2023-08-16,-0.0065572428870123,2.0,0.0,1.0,0.0001,0.0001,-0.0066572428870123
