baseline,seeds,accuracy_mean,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_mean,train_rows_min,test_rows_min,feature_dim
B1_FinBERT_LR,3,0.234609546297858,0.13324338729366178,0.0,0.014055794453747517,0.0,0.7991044874327672,10300.0,5929.0,3.0
B2_Technical_LightGBM,3,0.3889,0.2635494345785119,0.014079912628713302,0.0826568244543106,0.016700250565560286,0.7137979123863835,30000.0,10000.0,28.0
B3_News_Technical_Late_Fusion,3,0.38949794793950643,0.2534026621128546,0.011951959432163425,0.08139974070724494,0.012056743666541551,0.7081916206183921,10300.0,5929.0,31.0
B4_DLinear,3,0.4357333333333333,0.19629702183426867,0.01085976607294555,0.056994835900002094,0.009780012876760755,0.7247412657247446,30000.0,10000.0,28.0
